,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genus,sig_otu
OTU728,0.611176646,-1.918631142,2.089152336,-0.918377807,0.358421105,0.996400209,Olsenella,NA
OTU792,0.237926982,-0.94329355,3.626427247,-0.260116496,0.794773914,0.996400209,Sphingobium,NA
OTU794,0.149591842,-0.497280557,3.643538056,-0.136482877,0.89143956,0.996400209,Sphingopyxis,NA
OTU795,0.158940369,0.034637872,3.649706385,0.009490591,0.992427717,0.996400209,Anaerococcus,NA
OTU906,0.074795921,0.034637872,3.649706385,0.009490591,0.992427717,0.996400209,Sulfurihydrogenibium,NA
OTU955,0.08156553,0.034637872,3.649706385,0.009490591,0.992427717,0.996400209,Maribacter,NA
OTU967,0.380749215,-1.458864232,2.995926614,-0.486949255,0.626294293,0.996400209,Kangiella,NA
OTU979,0.399446268,-1.396580515,3.324212599,-0.420123706,0.674395086,0.996400209,CandidatusCardinium,NA
OTU1009,0.149591842,-0.497280557,3.643538056,-0.136482877,0.89143956,0.996400209,Elizabethkingia,NA
OTU1076,0.156361452,-0.532543275,3.642010746,-0.146222324,0.883745883,0.996400209,Pelosinus,NA
OTU1095,0.339601479,-1.064428166,3.345596904,-0.318157924,0.750365147,0.996400209,Echinicola,NA
OTU1140,77.84289221,-0.375467268,0.766020505,-0.490153026,0.624025618,0.996400209,Oscillibacter,NA
OTU1212,0.23373629,-0.568957176,3.640467039,-0.156286864,0.87580691,0.996400209,Dehalogenimonas,NA
OTU1214,0.08156553,0.034637872,3.649706385,0.009490591,0.992427717,0.996400209,Plantactinospora,NA
OTU1317,0.312722903,-1.226317079,3.608922577,-0.339801437,0.734006065,0.996400209,Kyrpidia,NA
OTU1399,0.149591842,-0.497280557,3.643538056,-0.136482877,0.89143956,0.996400209,Rufibacter,NA
OTU1595,0.156361452,-0.532543275,3.642010746,-0.146222324,0.883745883,0.996400209,Paraburkholderia,NA
OTU1870,0.157369048,1.573489201,3.649706385,0.431127613,0.666375584,0.996400209,Pseudodesulfovibrio,NA
OTU1878,0.157369048,1.573489201,3.649706385,0.431127613,0.666375584,0.996400209,Pandoravirus,NA
OTU1935,0.074795921,0.034637872,3.649706385,0.009490591,0.992427717,0.996400209,Malacobacter,NA
